0.000;0.00000;0.00000;0.00000
0.001;1.79808;-9.58038;0.19205
0.034;1.76097;-9.57440;0.21838
0.064;1.76576;-9.55884;0.19205
0.099;1.74541;-9.60791;0.18726
0.134;1.72267;-9.58278;0.16930
0.169;1.77174;-9.56721;0.21001
0.205;1.77414;-9.57559;0.11783
0.239;1.75378;-9.59595;0.18127
0.275;1.80766;-9.56363;0.17888
0.310;1.75020;-9.59474;0.15015
0.344;1.79329;-9.56123;0.22916
0.380;1.77174;-9.58397;0.09268
0.415;1.72984;-9.58397;0.23634
0.450;1.80048;-9.57680;0.08670
0.487;1.75978;-9.56721;0.21359
0.520;1.83040;-9.57320;0.11543
0.557;1.66281;-9.58157;0.19563
0.590;1.81125;-9.58517;0.21120
0.625;1.77174;-9.58636;0.12381
0.660;1.69513;-9.57680;0.19922
0.695;1.83759;-9.57440;0.14536
0.730;1.76456;-9.56242;0.19324
0.765;1.80287;-9.59595;0.15134
0.801;1.76456;-9.58517;0.27943
0.836;1.65204;-9.57799;0.19684
0.870;1.73463;-9.56602;0.17888
0.908;1.89624;-9.58038;0.14536
0.940;1.72507;-9.57080;0.17767
0.976;1.68556;-9.58876;0.07353
1.011;1.82800;-9.58278;0.29619
1.046;1.86990;-9.58038;0.03761
1.080;1.73344;-9.56841;0.26866
1.116;1.72386;-9.59236;0.18127
1.151;1.85075;-9.58397;0.16811
1.188;1.78133;-9.58636;0.18367
1.222;1.79089;-9.59474;0.21239
1.257;1.74062;-9.56482;0.17290
1.291;1.78970;-9.57559;0.15015
1.326;1.68675;-9.59595;0.16690
1.362;1.74062;-9.57201;0.22916
1.397;1.70351;-9.59355;0.21718
1.432;1.51198;-9.56602;0.43266
1.467;0.17361;-9.50377;0.27106
1.502;-0.08855;-9.51215;0.19684
1.537;-0.09094;-9.58636;0.11783
1.572;-0.07059;-9.65581;0.15373
1.609;-0.08496;-9.73003;0.14296
1.642;-0.07538;-9.84015;0.16690
1.677;-0.07298;-9.94431;0.21239
1.712;-0.02989;-10.02211;0.15613
1.747;-0.00475;-10.03648;0.19444
1.782;0.04193;-10.08316;0.18486
1.816;0.05391;-10.06522;0.17169
1.852;-0.00475;-9.96585;0.18726
1.888;0.11017;-9.98979;0.17290
1.922;0.12215;-9.89882;0.15733
1.958;0.11975;-9.80304;0.16331
1.992;0.14130;-9.75755;0.19084
2.028;0.11377;-9.72882;0.16690
2.062;0.12932;-9.72163;0.26985
2.098;0.10777;-9.71686;0.30457
2.132;0.11975;-9.78748;0.32492
2.168;0.09221;-9.80424;0.27823
2.203;0.07785;-9.90120;0.27704
2.238;0.07426;-9.94191;0.29739
2.273;0.02876;-10.03288;0.31894
2.310;0.01799;-10.07359;0.28542
2.343;0.01440;-10.07239;0.22916
2.378;-0.02151;-10.06161;0.12979
2.413;-0.04066;-10.03169;0.12740
2.448;-0.06461;-9.90120;0.16571
2.483;-0.05981;-9.83417;0.16451
2.518;-0.08257;-9.73122;0.16092
2.553;-0.07896;-9.65700;0.18007
2.588;-0.09932;-9.57201;0.15733
2.624;-0.12326;-9.51454;0.11423
2.660;-0.11609;-9.46906;0.13219
2.694;-0.10651;-9.44630;0.15373
2.729;-0.10890;-9.50018;0.15973
2.764;-0.09692;-9.58757;0.17888
2.799;-0.11249;-9.65939;0.15015
2.834;-0.06700;-9.73720;0.18845
2.869;-0.05383;-9.87248;0.26506
2.903;-0.03827;-9.96704;0.30338
2.939;-0.00835;-10.00296;0.29619
2.974;0.00124;-10.06282;0.31654
3.009;0.02159;-10.10352;0.31056
3.044;0.07066;-10.08437;0.32851
3.080;-0.00595;-9.96227;0.26627
3.114;0.13771;-9.94550;0.23872
3.150;0.12813;-9.89282;0.15015
3.185;0.13771;-9.83058;0.15733
3.219;0.10060;-9.75755;0.17528
3.254;0.14009;-9.71326;0.16571
3.289;0.12813;-9.70488;0.09987
3.324;0.14249;-9.74559;0.16451
3.360;0.10060;-9.76474;0.18486
3.395;0.07904;-9.83177;0.16930
3.432;0.11496;-9.89043;0.16331
3.465;0.07904;-9.97183;0.18127
3.500;0.02278;-10.01373;0.15613
3.535;0.00363;-10.04965;0.17290
3.570;0.04193;-10.07599;0.19563
3.604;0.02399;-10.02690;0.21239
3.640;-0.01193;-9.99458;0.25189
3.675;-0.05144;-9.91078;0.26028
3.710;-0.08257;-9.82698;0.25310
3.745;-0.08376;-9.69171;0.23035
3.780;-0.09813;-9.62708;0.21957
3.815;-0.09334;-9.58517;0.21239
3.850;-0.10890;-9.49300;0.20161
3.885;-0.10411;-9.48341;0.18246
3.920;-0.06580;-9.46426;0.16331
3.955;-0.11130;-9.49179;0.16930
3.990;-0.10530;-9.60432;0.19684
4.026;-0.07896;-9.67975;0.16690
4.061;-0.09573;-9.75157;0.16930
4.096;-0.06700;-9.88924;0.22437
4.131;-0.05742;-9.96227;0.27823
4.165;-0.01314;-10.04845;0.28781
4.201;0.01799;-10.04366;0.23872
4.236;0.03954;-10.07957;0.18605
4.271;0.09940;-10.01492;0.22676
4.305;0.04433;-10.02092;0.17409
4.341;0.07785;-9.89642;0.18965
4.376;0.09581;-9.87607;0.14296
4.411;0.12573;-9.80664;0.16331
4.446;0.10538;-9.75876;0.15973
4.481;0.11377;-9.74319;0.20042
4.516;0.18918;-9.71805;0.17528
4.551;0.12932;-9.75157;0.15852
4.586;0.11256;-9.80064;0.16211
4.621;0.14488;-9.84375;0.17648
4.656;0.09460;-9.91676;0.22078
4.691;0.09341;-9.97064;0.28062
4.726;0.04912;-10.03288;0.24352
4.762;0.02159;-10.04845;0.25789
4.797;0.03236;-10.09155;0.18486
4.832;-0.02631;-10.05803;0.18367
4.866;-0.04546;-9.98141;0.16690
4.902;-0.05383;-9.90359;0.17409
